longitude,latitude,temperature
-62.50,42.20,12.70
-62.60,42.20,10.80
-62.40,42.30,9.26
-62.20,42.30,8.84
-62.00,42.30,7.65
-61.80,42.30,6.62
-62.20,42.30,7.08
-62.30,42.20,9.09
-62.50,42.10,7.24
-62.70,42.00,8.37
-62.60,42.10,8.67
-55.00,41.80,19.60
-55.10,42.10,15.30
-54.50,42.00,14.80
-54.20,41.10,18.30
-53.20,41.30,17.80
-52.70,41.00,17.40
-53.20,40.90,15.50
-52.20,41.30,5.12
-53.50,41.30,7.74
-54.80,41.00,14.40
-54.30,41.70,13.40
-53.90,42.00,12.30
-53.80,42.00,12.00
-53.50,41.90,14.50
-52.90,41.60,15.10
-52.60,42.00,14.90
-53.00,42.70,10.30
-54.00,43.10,12.40
-55.00,43.20,11.00
-55.60,43.20,11.60
-56.00,42.90,10.10
-56.20,42.90,15.60
-56.20,42.80,15.50
-55.40,42.50,15.30
-61.30,38.40,24.40
-61.60,37.50,25.10
-60.30,36.30,22.70
-59.90,35.90,23.10
-60.40,35.00,23.30
-60.70,34.20,23.30
-60.00,34.10,21.90
-59.80,34.60,21.40
-59.30,34.70,21.20
-59.60,34.50,20.90
-60.20,34.30,20.40
-62.20,38.80,12.60
-62.10,39.60,16.20
-62.80,40.10,18.70
-59.60,39.30,23.30
-57.70,38.60,22.80
-58.30,37.80,21.80
-59.90,38.10,22.60
-59.80,39.20,23.30
-56.40,39.10,26.80
-55.90,40.80,22.20
-56.90,40.40,25.50
-54.70,39.50,26.70
-54.50,40.50,23.60
-38.20,52.40,7.65
-43.20,53.60,5.55
-42.90,53.90,5.09
-43.20,54.30,4.73
-43.50,54.30,4.83
-43.70,54.60,4.24
-44.00,54.40,4.31
-44.50,54.10,4.27
-44.90,53.80,5.16
-45.10,53.70,5.31
-45.10,53.70,5.58
-45.40,53.70,5.74
-45.60,53.90,6.87
-45.60,54.00,7.85
-45.70,54.10,7.22
-45.90,54.20,7.67
-45.90,54.20,8.52
-46.00,54.20,9.84
-46.40,53.90,9.01
-46.20,53.50,10.50
-45.70,53.30,10.90
-45.40,53.40,11.80
-45.90,53.90,11.80
-47.00,54.30,9.50
-46.60,54.80,6.70
-46.20,54.50,6.18
-46.00,54.20,6.72
-46.40,54.00,5.46
-45.90,53.80,4.46
-46.00,53.80,4.12
-26.50,51.70,10.40
-26.20,51.40,10.30
-26.60,51.20,9.71
-27.10,51.10,10.00
-27.00,50.70,9.71
-26.50,50.40,10.80
-26.10,50.40,11.30
-26.70,51.70,12.00
-27.30,52.30,11.70
-27.00,53.40,11.70
-26.20,53.90,11.10
-24.70,53.80,11.20
-23.90,53.30,11.10
-22.80,53.70,11.80
-22.90,53.60,14.20
-22.50,53.90,14.80
-22.40,54.40,15.20
-22.10,54.50,14.50
-22.00,54.40,15.00
-22.60,54.80,14.90
-23.40,54.90,15.00
-23.20,54.90,14.80
-24.30,54.80,13.20
-24.20,54.40,13.00
-23.70,54.70,12.40
-24.50,54.80,12.40
-24.40,54.50,12.10
-24.10,54.80,11.40
-23.60,55.20,11.00
-22.70,55.10,10.90
-22.00,55.20,10.70
-47.10,53.40,5.72
-46.80,53.70,5.39
-46.90,52.90,5.10
-46.80,52.30,5.41
-47.00,52.10,5.08
-47.10,52.10,5.67
-46.80,51.90,6.08
-47.10,51.60,5.67
-47.90,52.20,5.89
-48.10,52.80,5.30
-47.40,53.30,5.08
-48.40,53.70,5.41
-48.90,53.30,5.50
-49.60,53.50,6.60
-49.20,53.80,7.27
-48.70,54.10,8.10
-48.30,53.80,8.47
-48.30,53.40,9.36
-48.50,53.20,10.00
-49.70,53.30,10.50
-50.10,53.90,11.20
-49.70,54.30,10.50
-50.60,54.60,9.05
-51.10,54.70,7.42
-50.70,54.30,8.38
-50.80,54.40,7.38
-50.40,54.40,6.69
-50.10,55.20,5.86
-50.30,55.30,5.54
-50.10,55.40,4.81
-50.20,56.00,4.39
-51.30,56.20,3.86
-51.20,55.90,3.48
-45.80,52.10,6.45
-45.50,51.40,6.01
-43.60,51.20,8.70
-43.10,51.40,8.88
-41.60,51.00,6.99
-41.10,51.80,7.93
-42.10,52.30,7.12
-42.30,52.60,6.92
-42.50,52.80,7.13
-42.30,52.80,7.22
-42.60,52.70,6.49
-43.30,52.70,8.52
-44.80,52.10,7.30
-44.60,51.90,7.96
-44.30,51.90,11.40
-44.50,52.30,11.10
-45.20,52.10,10.50
-45.30,51.90,11.90
-45.40,51.70,12.30
-45.70,51.10,12.90
-44.70,51.00,14.80
-42.10,51.70,14.60
-44.10,52.10,12.00
-44.80,52.20,10.70
-45.50,51.70,9.79
-44.30,51.40,10.50
-42.80,51.90,12.00
-42.90,52.00,11.40
-43.00,52.30,8.89
-43.10,52.60,8.05
-43.70,52.60,9.06
-44.00,52.40,7.25
-43.10,51.50,6.28
-42.00,50.40,8.56
-40.50,51.30,7.63
-40.40,52.00,9.44
-39.60,51.90,7.88
-39.30,51.80,7.40
-39.00,51.50,7.18
-39.10,51.20,7.88
-39.40,51.00,7.60
-39.20,51.00,8.03
-39.60,51.20,8.36
